"site number","site location","Cluster","site acronym","date","sample type","TOC (mg/L)","DOC (mg/L)","UVA (cm-1)","suva (L/mg-m)","peak int","peak int WL","int at 450","int at 460","int at 500","FI (450/500)","docm comments"
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2008-02-04",NA,NA,5.37,0.084,1.6,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2008-02-04",NA,NA,7.3,0.172,2.4,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2008-02-04",NA,NA,5.55,0.09,1.6,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2008-02-04",NA,NA,7.33,0.195,2.7,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2008-02-04",NA,NA,4.53,0.066,1.5,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2008-02-04",NA,NA,7.31,0.17,2.3,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2008-02-04",NA,NA,7.37,0.183,2.5,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2008-02-04",NA,NA,8.07,0.227,2.8,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2008-02-04",NA,NA,2.99,0.055,1.8,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2008-02-04",NA,NA,3.23,0.063,2,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2008-02-04",NA,NA,3.74,0.04,1.1,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2008-02-04",NA,NA,5.36,0.211,3.9,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2008-02-04",NA,NA,5.79,0.211,3.6,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2008-02-04",NA,NA,5.43,0.12,2.2,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2008-02-04",NA,NA,5.46,0.12,2.3,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2008-02-04",NA,NA,5.68,0.12,2.1,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2008-02-04",NA,NA,7.19,0.211,2.9,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2008-02-04",NA,NA,6.85,0.158,2.3,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2008-02-04",NA,NA,5.81,0.092,1.6,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2008-02-04",NA,NA,3.82,0.039,1,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2008-02-04",NA,NA,3.32,0.023,0.7,NA,NA,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista west-treated","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet",NA,"Glen In","2008-03-03",NA,NA,5.85,0.229,3.9,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet",NA,"Glen Out","2008-03-03",NA,NA,3.22,0.068,2.1,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2008-03-03",NA,NA,5.72,0.228,4,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2008-03-03",NA,NA,5.88,0.223,3.8,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2008-03-03",NA,NA,5.87,0.229,3.9,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2008-03-03",NA,NA,3.99,0.083,2.1,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2008-03-03",NA,NA,3.64,0.04,1.1,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2008-03-03",NA,NA,5.65,0.229,3.9,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2008-03-03",NA,NA,5.88,0.229,4.1,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2008-03-03",NA,NA,6.15,0.233,3.8,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2008-03-03",NA,NA,3.91,0.083,2.1,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2008-03-03",NA,NA,5.89,0.238,4,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2008-03-03",NA,NA,3.56,0.078,2.2,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2008-03-03",NA,NA,5.64,0.253,4.5,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2008-03-03",NA,NA,3.77,0.088,2.3,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2008-03-03",NA,NA,6.15,0.236,3.8,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2008-03-03",NA,NA,6.04,0.237,3.9,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2008-03-03",NA,NA,5.88,0.272,4.6,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2008-03-03",NA,NA,2.73,0.039,1.4,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2008-03-03",NA,NA,6.2,0.242,3.9,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2008-03-03",NA,NA,6.58,0.255,3.9,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2008-03-03",NA,NA,5.82,0.13,2.2,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2008-03-03",NA,NA,5.69,0.138,2.4,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2008-03-03",NA,NA,5.24,0.119,2.3,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2008-03-03",NA,NA,5.45,0.238,4.4,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2008-03-03",NA,NA,5.69,0.237,4.2,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2008-03-03",NA,NA,3.87,0.089,2.3,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2008-03-03",NA,NA,2.6,0.039,1.5,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2008-03-03",NA,NA,2.33,0.023,1,NA,NA,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista west-treated","2008-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet",NA,"Glen In","2008-04-07",NA,NA,4.96,0.127,2.6,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet",NA,"Glen Out","2008-04-07",NA,NA,2.5,0.038,1.5,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2008-04-07",NA,NA,2.75,0.039,1.4,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2008-04-07",NA,NA,4.97,0.125,2.5,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2008-04-07",NA,NA,4.94,0.113,2.3,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2008-04-07",NA,NA,4.94,0.116,2.4,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2008-04-07",NA,NA,5.42,0.123,2.3,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2008-04-07",NA,NA,2.74,0.039,1.4,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2008-04-07",NA,NA,5.15,0.125,2.4,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2008-04-07",NA,NA,4.3,0.09,2.1,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2008-04-07",NA,NA,4.9,0.117,2.4,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2008-04-07",NA,NA,2.99,0.045,1.5,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2008-04-07",NA,NA,4.93,0.122,2.5,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2008-04-07",NA,NA,3.15,0.049,1.5,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2008-04-07",NA,NA,5.1,0.125,2.5,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2008-04-07",NA,NA,3.41,0.056,1.6,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2008-04-07",NA,NA,1.51,0.034,2.3,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2008-04-07",NA,NA,4.81,0.119,2.5,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2008-04-07",NA,NA,5.03,0.116,2.3,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2008-04-07",NA,NA,4.14,0.123,3,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2008-04-07",NA,NA,3.58,0.059,1.6,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2008-04-07",NA,NA,3.37,0.057,1.7,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2008-04-07",NA,NA,2.86,0.04,1.4,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2008-04-07",NA,NA,5.93,0.186,3.1,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2008-04-07",NA,NA,6.11,0.216,3.5,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2008-04-07",NA,NA,6.44,0.133,2.1,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2008-04-07",NA,NA,6.49,0.133,2,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2008-04-07",NA,NA,5.9,0.127,2.2,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2008-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2008-04-07",NA,NA,5.1,0.125,2.4,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2008-04-07",NA,NA,4.94,0.125,2.5,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2008-04-07",NA,NA,4.09,0.083,2,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2008-04-07",NA,NA,2.86,0.041,1.5,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2008-04-07",NA,NA,2.67,0.029,1.1,NA,NA,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista west-treated","2008-04-07",NA,NA,3.34,0.055,1.7,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet",NA,"Glen In","2008-05-05",NA,NA,5.13,0.14,2.7,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet",NA,"Glen Out","2008-05-05",NA,NA,2.97,0.056,1.9,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2008-05-05",NA,NA,3.18,0.042,1.3,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2008-05-05",NA,NA,5.74,0.155,2.7,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2008-05-05",NA,NA,5.26,0.139,2.6,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2008-05-05",NA,NA,5.37,0.143,2.7,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2008-05-05",NA,NA,4.03,0.078,1.9,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2008-05-05",NA,NA,5.5,0.14,2.6,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2008-05-05",NA,NA,5.95,0.139,2.3,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2008-05-05",NA,NA,2.81,0.044,1.6,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2008-05-05",NA,NA,5.63,0.15,2.7,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2008-05-05",NA,NA,4.66,0.11,2.4,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2008-05-05",NA,NA,5.36,0.142,2.6,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2008-05-05",NA,NA,2.9,0.046,1.6,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2008-05-05",NA,NA,5.2,0.14,2.7,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2008-05-05",NA,NA,1.77,0.025,1.4,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2008-05-05",NA,NA,5.66,0.151,2.7,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2008-05-05",NA,NA,3.2,0.057,1.8,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2008-05-05",NA,NA,1.55,0.033,2.1,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2008-05-05",NA,NA,5.22,0.139,2.7,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2008-05-05",NA,NA,5.29,0.138,2.6,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2008-05-05",NA,NA,5.34,0.177,3.3,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2008-05-05",NA,NA,4.26,0.06,1.4,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2008-05-05",NA,NA,4.24,0.061,1.4,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2008-05-05",NA,NA,3.2,0.059,1.9,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2008-05-05",NA,NA,5.87,0.159,2.7,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2008-05-05",NA,NA,6.45,0.209,3.2,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2008-05-05",NA,NA,6.94,0.138,2,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2008-05-05",NA,NA,7.45,0.139,1.9,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2008-05-05",NA,NA,6.79,0.142,2.1,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2008-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2008-05-05",NA,NA,5.49,0.151,2.8,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2008-05-05",NA,NA,5.46,0.148,2.7,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2008-05-05",NA,NA,4.44,0.101,2.3,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2008-05-05",NA,NA,2.86,0.044,1.6,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2008-05-05",NA,NA,2.36,0.024,1,NA,NA,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista west-treated","2008-05-05",NA,NA,3.26,0.06,1.8,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet",NA,"Glen In","2008-06-02",NA,NA,5.93,0.15,2.5,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet",NA,"Glen Out","2008-06-02",NA,NA,3.97,0.08,1.9,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2008-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2008-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2008-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2008-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2008-06-02",NA,NA,5.76,0.152,2.7,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2008-06-02",NA,NA,5.91,0.145,2.5,NA,NA,NA,NA,NA,NA,NA
