site number,site location,Cluster,site acronym,date,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,10/28/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,10/28/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,10/28/2003,NA,566,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/28/2003,NA,1064,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/28/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,10/28/2003,NA,992,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/28/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/3/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,11/10/2003,NA,825,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,11/10/2003,NA,915,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/10/2003,NA,754,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/10/2003,NA,756,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/10/2003,NA,2285,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,11/10/2003,NA,993,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/10/2003,NA,574,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/10/2003,NA,784,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/10/2003,NA,740,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/10/2003,NA,744,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/10/2003,NA,924,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/10/2003,NA,757,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,11/10/2003,NA,508,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,11/10/2003,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,11/10/2003,NA,850,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,11/10/2003,NA,996,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/10/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,11/17/2003,NA,695,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/17/2003,NA,880,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/17/2003,NA,2264,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,11/17/2003,NA,996,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/17/2003,NA,637,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/17/2003,NA,889,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/17/2003,NA,875,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/17/2003,NA,933,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/17/2003,NA,883,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,11/17/2003,NA,540,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,11/17/2003,NA,993,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,11/17/2003,NA,992,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/17/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,1/20/2004,NA,1019,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,1/20/2004,NA,877,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/20/2004,NA,2275,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,1/20/2004,NA,996,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/20/2004,NA,693,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/20/2004,NA,764,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1/20/2004,NA,992,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1/20/2004,NA,1053,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/20/2004,NA,974,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,1/20/2004,NA,561,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/20/2004,NA,2231,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,1/20/2004,NA,2259,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/20/2004,NA,2256,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,1/20/2004,NA,1206,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,1/20/2004,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,1/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,1/28/2004,NA,622,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,2/17/2004,NA,978,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2/17/2004,NA,766,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/17/2004,NA,2250,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2/17/2004,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/17/2004,NA,614,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/17/2004,NA,783,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2/17/2004,NA,763,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/17/2004,NA,815,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
